상왕십리,왕십리,2
신도림,대림,2
대림,신도림,2
대림,구로디지털단지,3
구로디지털단지,대림,3
구로디지털단지,신대방,4
신대방,구로디지털단지,4
신대방,신림,3
신림,신대방,3
대화,주엽,2
주엽,대화,2
주엽,정발산,3
정발산,주엽,3
정발산,마두,2
마두,정발산,2
마두,백석,2
백석,마두,2
백석,대곡,4
대곡,백석,4
대곡,화정,3
화정,대곡,3
화정,원당,3
원당,화정,3
원당,삼송,5
삼송,원당,5
삼송,지축,3
지축,삼송,3
지축,구파발,4
구파발,지축,4
구파발,연신내,2
연신내,구파발,2
연신내,불광,2
불광,연신내,2
불광,녹번,2
녹번,불광,2
녹번,홍제,3
홍제,녹번,3
홍제,무악재,2
무악재,홍제,2
무악재,독립문,2
독립문,무악재,2
독립문,경복궁,2
경복궁,독립문,2
경복궁,안국,2
안국,경복궁,2
안국,종로3가,2
종로3가,안국,2
종로3가,을지로3가,2
을지로3가,종로3가,2
을지로3가,충무로,1
충무로,을지로3가,1
충무로,동대입구,3
동대입구,충무로,3
동대입구,약수,1
약수,동대입구,1
약수,금호,1
금호,약수,1
금호,옥수,2
옥수,금호,2
옥수,압구정,2
압구정,옥수,2
압구정,신사,3
신사,압구정,3
신사,잠원,2
잠원,신사,2
잠원,고속터미널,2
고속터미널,잠원,2
고속터미널,교대,2
교대,고속터미널,2
교대,남부터미널,2
남부터미널,교대,2
남부터미널,양재,3
양재,남부터미널,3
양재,매봉,2
매봉,양재,2
매봉,도곡,2
도곡,매봉,2
도곡,대치,2
대치,도곡,2
대치,학여울,1
학여울,대치,1
학여울,대청,2
대청,학여울,2
대청,일원,2
일원,대청,2
일원,수서,3
수서,일원,3
수서,가락시장,3
가락시장,수서,3
가락시장,경찰병원,2
경찰병원,가락시장,2
경찰병원,오금,1
오금,경찰병원,1
당고개,상계,2
상계,당고개,2
상계,노원,2
노원,상계,2
노원,창동,2
창동,노원,2
창동,쌍문,2
쌍문,창동,2
쌍문,수유,3
수유,쌍문,3
수유,미아,2
미아,수유,2
미아,미아사거리,2
미아사거리,미아,2
미아사거리,길음,2
길음,미아사거리,2
길음,성신여대입구,3
성신여대입구,길음,3
성신여대입구,한성대입구,2
한성대입구,성신여대입구,2
한성대입구,혜화,2
혜화,한성대입구,2
혜화,동대문,2
동대문,혜화,2
동대문,동대문역사문화공원,2
동대문역사문화공원,동대문,2
동대문역사문화공원,충무로,2
충무로,동대문역사문화공원,2
충무로,명동,1
명동,충무로,1
명동,회현,2
회현,명동,2
회현,서울역,2
서울역,회현,2
서울역,숙대입구,2
숙대입구,서울역,2
숙대입구,삼각지,2
삼각지,숙대입구,2
삼각지,신용산,1
신용산,삼각지,1
신용산,이촌,2
이촌,신용산,2
이촌,동작,4
동작,이촌,4
동작,총신대입구(이수),3
총신대입구(이수),동작,3
총신대입구(이수),사당,2
사당,총신대입구(이수),2
사당,남태령,2
남태령,사당,2
남태령,선바위,2
선바위,남태령,2
선바위,경마공원,3
경마공원,선바위,3
경마공원,대공원,2
대공원,경마공원,2
대공원,과천,2
과천,대공원,2
과천,정부과천청사,2
정부과천청사,과천,2
정부과천청사,인덕원,3
인덕원,정부과천청사,3
인덕원,평촌,4
평촌,인덕원,4
평촌,범계,2
범계,평촌,2
범계,금정,3
금정,범계,3
금정,산본,4
산본,금정,4
산본,수리산,2
수리산,산본,2
수리산,대야미,3
대야미,수리산,3
대야미,반월,3
반월,대야미,3
반월,상록수,4
상록수,반월,4
상록수,한대앞,4
한대앞,상록수,4
한대앞,중앙,2
중앙,한대앞,2
중앙,고잔,2
고잔,중앙,2
고잔,초지,3
초지,고잔,3
초지,안산,2
안산,초지,2
안산,신길온천,3
신길온천,안산,3
신길온천,정왕,4
정왕,신길온천,4
정왕,오이도,2
오이도,정왕,2
방화,개화산,2
개화산,방화,2
개화산,김포공항,2
김포공항,개화산,2
김포공항,송정,2
송정,김포공항,2
송정,마곡,2
마곡,송정,2
마곡,발산,2
발산,마곡,2
발산,우장산,2
우장산,발산,2
우장산,화곡,2
화곡,우장산,2
화곡,까치산,2
까치산,화곡,2
까치산,신정,2
신정,까치산,2
신정,목동,1
목동,신정,1
목동,오목교,2
오목교,목동,2
오목교,양평(5호선),2
양평(5호선),오목교,2
양평(5호선),영등포구청,1
영등포구청,양평(5호선),1
영등포구청,영등포시장,2
영등포시장,영등포구청,2
영등포시장,신길,2
신길,영등포시장,2
신길,여의도,2
여의도,신길,2
여의도,여의나루,2
여의나루,여의도,2
여의나루,마포,2
마포,여의나루,2
마포,공덕,2
공덕,마포,2
공덕,애오개,2
애오개,공덕,2
애오개,충정로,2
충정로,애오개,2
충정로,서대문,2
서대문,충정로,2
서대문,광화문,2
광화문,서대문,2
광화문,종로3가,2
종로3가,광화문,2
종로3가,을지로4가,2
을지로4가,종로3가,2
을지로4가,동대문역사문화공원,2
